发布者;群体情绪;时间
----Solitude----;4.6955365451692584e-06;2023-03-11 14:41:23
恐龙大白鲨;0.0019324680013977904;------
久西鸥;0.0005968290540914172;2023-03-11 14:35:18
tricoder;0.00032112447425327933;2023-03-12 10:47:48
银河尽头的yu;-8.88269766356956e-05;2023-03-11 16:17:06
125玛卡巴卡;-0.00019380674186516978;2023-03-11 15:13:39
阳阳y_kun;0.0033143306729392437;------
小冰55912;0.0002027820775066602;2023-03-11 17:16:09
有仙则灵825;0.0003028306167631743;2023-03-11 17:01:44
邻家焉得许多兔兔;0.0009886529833898743;2023-03-11 14:04:17
棣峂遇琪日;0.0018347417478981967;2023-03-11 16:30:31
wind风筝有风;0.0004963963692409754;2023-03-11 18:13:29
男性美女bot;0.006061051661142757;2023-03-11 14:05:14
阿华田是个饕餮客重生版;0.006934427907900971;2023-03-11 16:56:33
走走停停2173;-1.48754629752278e-05;2023-03-11 14:07:14
urnot坒夏;0.0002872316309904705;2023-03-11 14:06:27
kkkqi2;2.1493126712166725e-06;2023-03-11 14:06:15
典籍里的中国;0.005046691398880413;------
好一个粥;4.612383064392595e-05;2023-03-11 13:53:31
央视一套;0.013711819393702493;------
陌上风诗词;0.0018200824414065495;2023-03-11 14:14:58
什奇ccc;0.00030218496587265366;------
你的猛1我的娇妻;0.0016522024384608078;2023-03-20 01:05:12
葛归愚;0.00145591981350187;2023-03-16 15:07:17
你的猛1我的娇妻;0.00027329837129609424;2023-03-11 14:59:29
明月何时携你还;0.005237881618136811;------
鹿畔曦阳_luhan420;0.0008889375155181204;2023-03-11 13:49:15
萍儿影;0.011252476437673697;2023-03-11 13:34:28
夕夕姐姐看脸;-0.0001418756208093233;2023-03-11 13:34:51
小七仔旅行日记;0.011517509293658966;------
对言嘎嘎纯情;0.0032073256795043534;2023-03-11 13:36:34
Miss-沈小娴;0.10121385085478708;2023-03-11 13:41:01
Bhynascy;0.00014899980990455586;------
Century_sun;0.0013153475553268578;2023-03-11 23:33:57
无名无姓清淡漂泊;0.00588006970168707;------
xyses;0.0010588822877014923;2023-03-11 17:23:52
瘸心彦子;0.006017220863108948;2023-03-11 15:49:43
想见你只想见旎;0.00020373759002494224;2023-03-11 15:14:25
捞起桃花的咸鱼;0.0005945695552785017;2023-03-11 15:14:17
在灵隐寺拉磨;-0.00018206683341662734;2023-03-12 08:12:10
tatakau;0.00013013008642690313;2023-03-11 18:25:22
MD_LEG;0.0024448614842886643;2023-03-11 18:25:18
对言嘎嘎纯情;0.0005092756280839298;2023-03-11 17:22:42
陳企鵝_Patty;0.0006111384516964579;2023-03-11 16:11:23
有兽焉漫画;0.011724282779250344;2023-03-11 16:03:07
魔婧果果;0.0043334338829676645;2023-03-11 14:26:27
黄濑家的小舅妈喵;0.03228046126317914;2023-03-11 14:04:46
风堤归祎;0.007629682126528193;2023-03-11 13:55:43
TF_CZ;0.00016581124735077168;2023-03-11 13:12:16
