发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
中科大胡不归;0.0011535089742998;0.4871963179846715;0.994442629862464;0.003071726554085029
一只饭cp的萝卜;0.006182808102247;0.4300905574263627;0.5292885156249313;0.007735991601473645
瑞睿女王;9.22807179439856e-05;0.9979298191093832;0.669469703545652;0.0003388595550441497
Rabbitwool_梦比优斯出蓝光了么;0.0002768421538319;0.493704080579467;1.0;0.000751236671374846
绿箭五糖薄荷糖;0.0006921053845798;0.7171280917548518;0.8596648330958498;0.002345178845426483
北京众一公益基金会;4.61403589719928e-05;-0.6099971000384109;0.8285993278155545;-0.00012818321485595462
陳企鵝_Patty;0.0004614035897199;0.9278780436990296;0.7641154643829435;0.0017980787142839979
vitamin__C_;0.0002768421538319;0.7813453198635314;0.8034727482604938;0.0009552657992638662
问问夕夕姐姐;4.61403589719928e-05;0.4070739364412312;0.8838097588298406;9.124118184841338e-05
淇淇夬夬;9.22807179439856e-05;0.7142857142857142;0.6694787749216722;0.00024254793712039094
盐式夏日;0.0004614035897199;0.9945584059049934;0.6743106783166389;0.001700783923562253
付俊医生;9.22807179439856e-05;0.0886840112836113;0.6695268393570133;3.011633560077077e-05
yang_smile;0.0001384210769159;0.293620736537967;0.6483644481290306;0.00014483915555291545
Fong110;0.0009689475384118;0.3567037722061771;0.5938277788584769;0.001128096674899923
SUMMER旧梦安雪;0.0025838601024315;-0.2083779852916069;0.5581999714643326;-0.0016519179953637727
水煮长江;9.22807179439856e-05;0.9999864078768674;0.6727396480199168;0.0003412164253055715
岳盛斋的饲养员;0.0005998246666359;0.8461538461538458;0.6694704603819592;0.0018675959210762547
穆梓欣MZX;0.0004152632307479;0.1326507529235493;0.6410350026340963;0.00019408536356550922
单色光0517;0.0005536843076639;0.9770353848935668;0.6815614435200236;0.0020265408634485334
Libra_Iridescent;0.0008305264614958;0.4276509796136144;0.8798866910564186;0.0017177008777543108
又又想喝冰阔落;0.0001384210769159;0.9233207705226012;0.6694697675036498;0.0004702877236879391
augenstern_澄念;0.0018456143588797;0.2560930734336059;0.5359034094945045;0.00139220489438259
霜予叙柒;0.0010150878973838;0.3879632207574788;0.5198319274050944;0.0011252136688225292
橙子茶Yi;0.0002307017948599;0.8043405272205623;0.552668257335839;0.0005636808618019773
甜乐壁纸头像;9.22807179439856e-05;-0.8324587582427387;0.6698001318815805;-0.00028281130368336155
北欧米粒和西北永鸿;0.0046140358971992;0.8031347399893655;0.8466177264488308;0.017243863721733033
月凝花朝胧鲸落;0.0034143865639274;0.4386400145465735;0.5294300930226882;0.004358202472129447
林伟3037148833;0.0002768421538319;0.9963973991675046;0.6694699273986443;0.0010150179474378354
四川幼儿师范高等专科学校官微;0.0023992986665436;0.347030146116034;0.5974713759154747;0.002734301891674886
假装纯情男高_;0.0055829834356111;0.3435439509179376;0.485953879099645;0.00512296680742342
lron1;0.0026761408203755;0.6129057191977418;0.5285513577382055;0.004765052311918659
慧腐烂的心QY;0.0006921053845798;0.2852360804649943;0.5809022025490536;0.0006303148727917975
呈贡发布;0.0002768421538319;0.7778162254082901;0.9312855392477786;0.001102224146007263
TT-WJY;0.0249619342038481;0.54217170147177;0.4016946824095532;0.029880578836057766
大唐合盛陶瓷家居;0.0006921053845798;0.9356137000703126;0.3579967687484521;0.001274165233474292
金金的幸福3_299;0.0017533336409357;0.9052649687294022;0.2922360701558781;0.002549481958025159
奶盐专用沙发;0.0070133345637429;0.5903310649191595;0.4163453822716636;0.009474401616427536
敢敢ings;0.0001845614358879;0.3944144440334325;0.669529293540185;0.00026788055999997143
可乐yao加冰200605;0.0004614035897199;0.9991394297215236;0.670206862943235;0.001698219335885594
与辉遥;0.0001384210769159;0.0;0.6694698954196454;0.0
风暴鸟海瑶;0.0001845614358879;-0.781563232844471;0.671569636487172;-0.0005324440482465471
Dasiy--c;0.0001384210769159;-0.2685486136969894;0.6694703751046288;-0.00013678369954488046
lv记忆裏嘚童话已经融化淚;0.0001384210769159;0.6849790955158949;0.8209593342248213;0.0004278376795290334
星落my;0.0075208785124348;0.6003352377492694;0.474437810224056;0.011773878382970232
汪喵爱宁;9.22807179439856e-05;0.9999999993663508;0.6694708867686111;0.0003395631107940491
