发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
北回归线看海;1;1;2;21673;9.22807179439856e-05
月雫_行舟中-;3;1;4;21673;0.0001845614358879712
冲浪阿秋;0;4;4;21673;0.0001845614358879712
cy万事顺毅;117;16;133;21673;0.006136667743275042
回毅的缺角;65;30;95;21673;0.004383334102339316
奢华汽车控;464;2575;3039;21673;0.14022055091588612
酒窝男孩成长记;2;1;3;21673;0.0001384210769159784
蜜瓜包經銷金閃閃;1;6;7;21673;0.0003229825128039496
晚时听月;1;10;11;21673;0.0005075439486919209
彩云校园圈;1;1;2;21673;9.22807179439856e-05
彩云校园圈;1;1;2;21673;9.22807179439856e-05
陳企鵝_Patty;1;4;5;21673;0.00023070179485996402
彩云校园圈;2;1;3;21673;0.0001384210769159784
彩云校园圈;1;2;3;21673;0.0001384210769159784
菠萝饼干炒饭;1;2;3;21673;0.0001384210769159784
云南平安高速;10;12;22;21673;0.0010150878973838417
Kiss-派宝巴宝;6;12;18;21673;0.0008305264614958704
小殿下无心;56;39;95;21673;0.004383334102339316
水苑南;3;4;7;21673;0.0003229825128039496
随和的孤人席809;2;1;3;21673;0.0001384210769159784
兔兔是有钱;229;8;237;21673;0.010935265076362295
东哥到处走;134;241;375;21673;0.0173026346144973
火红的沙棘花儿;6;31;37;21673;0.0017071932819637337
岁杪初十;2;6;8;21673;0.0003691228717759424
秋水一鴻;1;1;2;21673;9.22807179439856e-05
小果子琪6;6;8;14;21673;0.0006459650256078992
陳企鵝_Patty;2;4;6;21673;0.0002768421538319568
没菜扣肉酱;2;2;4;21673;0.0001845614358879712
黑眼圈小神仙;1;2;3;21673;0.0001384210769159784
青宇_fighting;3;5;8;21673;0.0003691228717759424
慧腐烂的心QY;9;11;20;21673;0.0009228071794398561
高淳固城街道;21;19;40;21673;0.0018456143588797122
傅家媛可儿;109;65;174;21673;0.008028422461126748
飞花入境;1;1;2;21673;9.22807179439856e-05
飞花入境;1;1;2;21673;9.22807179439856e-05
小白团子A;116;147;263;21673;0.012134914409634106
紫衣人WBL;1;1;2;21673;9.22807179439856e-05
狂奔的小图;8;21;29;21673;0.0013380704101877913
心灵诗画;1;22;23;21673;0.0010612282563558343
将河流紧握于手;1;1;2;21673;9.22807179439856e-05
黄跳跳de美学分享;1;1;2;21673;9.22807179439856e-05
小阿兔蹦蹦跳;7;1;8;21673;0.0003691228717759424
某土匪;53;6;59;21673;0.0027222811793475754
木凡木可;1;1;2;21673;9.22807179439856e-05
踹你一脚就美了;1;4;5;21673;0.00023070179485996402
藤椒挂钩;7;8;15;21673;0.0006921053845798921
----Solitude----;1;1;2;21673;9.22807179439856e-05
恐龙大白鲨;3;12;15;21673;0.0006921053845798921
久西鸥;1;10;11;21673;0.0005075439486919209
tricoder;5;8;13;21673;0.0005998246666359064
银河尽头的yu;5;5;10;21673;0.00046140358971992804
125玛卡巴卡;1;1;2;21673;9.22807179439856e-05
阳阳y_kun;93;11;104;21673;0.004798597333087251
小冰55912;1;1;2;21673;9.22807179439856e-05
有仙则灵825;1;2;3;21673;0.0001384210769159784
邻家焉得许多兔兔;2;4;6;21673;0.0002768421538319568
棣峂遇琪日;8;10;18;21673;0.0008305264614958704
wind风筝有风;3;17;20;21673;0.0009228071794398561
男性美女bot;15;129;144;21673;0.0066442116919669635
阿华田是个饕餮客重生版;1;51;52;21673;0.0023992986665436256
走走停停2173;1;6;7;21673;0.0003229825128039496
urnot坒夏;2;1;3;21673;0.0001384210769159784
kkkqi2;1;3;4;21673;0.0001845614358879712
典籍里的中国;2;47;49;21673;0.002260877589627647
好一个粥;1;1;2;21673;9.22807179439856e-05
央视一套;7;121;128;21673;0.005905965948415078
陌上风诗词;3;12;15;21673;0.0006921053845798921
什奇ccc;1;2;3;21673;0.0001384210769159784
你的猛1我的娇妻;1;18;19;21673;0.0008766668204678633
葛归愚;2;15;17;21673;0.0007843861025238776
你的猛1我的娇妻;1;7;8;21673;0.0003691228717759424
明月何时携你还;115;2;117;21673;0.005398421999723158
鹿畔曦阳_luhan420;13;6;19;21673;0.0008766668204678633
萍儿影;235;4;239;21673;0.01102754579430628
夕夕姐姐看脸;1;1;2;21673;9.22807179439856e-05
小七仔旅行日记;36;301;337;21673;0.015549300973561574
对言嘎嘎纯情;57;16;73;21673;0.0033682462049554746
Miss-沈小娴;642;2080;2722;21673;0.1255940571217644
Bhynascy;20;25;45;21673;0.0020763161537396763
Century_sun;18;49;67;21673;0.0030914040511235176
无名无姓清淡漂泊;225;1;226;21673;0.010427721127670373
xyses;2;57;59;21673;0.0027222811793475754
瘸心彦子;110;5;115;21673;0.005306141281779172
想见你只想见旎;1;1;2;21673;9.22807179439856e-05
捞起桃花的咸鱼;1;6;7;21673;0.0003229825128039496
在灵隐寺拉磨;1;1;2;21673;9.22807179439856e-05
tatakau;2;1;3;21673;0.0001384210769159784
MD_LEG;21;3;24;21673;0.0011073686153278272
对言嘎嘎纯情;2;3;5;21673;0.00023070179485996402
陳企鵝_Patty;3;3;6;21673;0.0002768421538319568
有兽焉漫画;28;446;474;21673;0.02187053015272459
魔婧果果;105;4;109;21673;0.005029299127947215
黄濑家的小舅妈喵;57;941;998;21673;0.046048078254048816
风堤归祎;17;37;54;21673;0.0024915793844876113
TF_CZ;5;2;7;21673;0.0003229825128039496
1Alone_ls;1;2;3;21673;0.0001384210769159784
长城炮;6;76;82;21673;0.00378350943570341
路过晚风吹行舟;3;30;33;21673;0.0015226318460757624
葛归愚;1;1;2;21673;9.22807179439856e-05
麻里麻麻的鱼;7;7;14;21673;0.0006459650256078992
慧腐烂的心QY;9;19;28;21673;0.0012919300512157985
云南平安高速;10;8;18;21673;0.0008305264614958704
Amberrr_Zzz;3;2;5;21673;0.00023070179485996402
_四次元_;1;2;3;21673;0.0001384210769159784
_四次元_;1;1;2;21673;9.22807179439856e-05
_四次元_;1;3;4;21673;0.0001845614358879712
汐漫在看星星吖;23;18;41;21673;0.001891754717851705
一一戒糖ing;1;1;2;21673;9.22807179439856e-05
孙鹤榕的妈妈;109;33;142;21673;0.006551930974022978
与辉遥;1;2;3;21673;0.0001384210769159784
Lukita_mio;5;1;6;21673;0.0002768421538319568
总角之好悄悄话bot;3;29;32;21673;0.0014764914871037696
-个几;1;2;3;21673;0.0001384210769159784
Mulberry酱;20;10;30;21673;0.0013842107691597841
小约翰可敦;8;40;48;21673;0.0022147372306556543
迁行枫竹居;4;18;22;21673;0.0010150878973838417
南楼樱花;2;6;8;21673;0.0003691228717759424
油煎干尸烩饭;1;1;2;21673;9.22807179439856e-05
太热了吗;3;7;10;21673;0.00046140358971992804
格子衫Nice13114;1;5;6;21673;0.0002768421538319568
吃掉这个红烧鸭头;1;13;14;21673;0.0006459650256078992
婚吕厨;2;2;4;21673;0.0001845614358879712
零玖氿;1;136;137;21673;0.006321229179163014
紫薯冰激凌_;2;5;7;21673;0.0003229825128039496
方尘Hikari;1;1;2;21673;9.22807179439856e-05
吃掉这个红烧鸭头;5;13;18;21673;0.0008305264614958704
折与叠;3;2;5;21673;0.00023070179485996402
彩云小梦Dream;5;10;15;21673;0.0006921053845798921
在下司空;1;12;13;21673;0.0005998246666359064
镜中记事;1;1;2;21673;9.22807179439856e-05
星空中鹰小懿;29;57;86;21673;0.003968070871591381
太宰梓童;5;7;12;21673;0.0005536843076639136
好耶lll;1;1;2;21673;9.22807179439856e-05
徒手摘星星喽;3;1;4;21673;0.0001845614358879712
West西边;1;2;3;21673;0.0001384210769159784
管人吃如何调理;1;2;3;21673;0.0001384210769159784
我是幸福逼;1;1;2;21673;9.22807179439856e-05
小羊不吃骨头999;23;20;43;21673;0.0019840354357956906
等閒無間;2;3;5;21673;0.00023070179485996402
今天你电子阳痿了吗;2;8;10;21673;0.00046140358971992804
太热了吗;1;2;3;21673;0.0001384210769159784
彩云小梦Dream;8;6;14;21673;0.0006459650256078992
猫头鹰嗯-镇魂;3;13;16;21673;0.0007382457435518848
月落江南_言;7;7;14;21673;0.0006459650256078992
吴谨言不翻我不改名;16;7;23;21673;0.0010612282563558343
吴谨言不翻我不改名;3;1;4;21673;0.0001845614358879712
吴谨言不翻我不改名;2;4;6;21673;0.0002768421538319568
吴谨言不翻我不改名;1;3;4;21673;0.0001845614358879712
吴谨言不翻我不改名;5;3;8;21673;0.0003691228717759424
吴谨言不翻我不改名;1;3;4;21673;0.0001845614358879712
睡不足de珊;1;1;2;21673;9.22807179439856e-05
锦鲤本梨是玖梨;2;1;3;21673;0.0001384210769159784
锦鲤本梨是玖梨;3;1;4;21673;0.0001845614358879712
可爱的奶盐卿;3;4;7;21673;0.0003229825128039496
夕夕姐姐攻略博;1;1;2;21673;9.22807179439856e-05
今天不喝奶茶0311;1;1;2;21673;9.22807179439856e-05
正能量de黄跳跳O;1;1;2;21673;9.22807179439856e-05
轻拾月光·听风声;4;5;9;21673;0.0004152632307479352
初见沐阳;3;1;4;21673;0.0001845614358879712
小仙男iPad养乐多;2;2;4;21673;0.0001845614358879712
二次元凝视男性bot;86;1760;1846;21673;0.08517510266229872
