发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
稿定设计;5.226462625565764e-05;0.199836532451169;0.497910954893479;5.403306558297407e-06
伍少霆;1.7421542085219216e-05;-0.1252336448598137;0.636365409786301;-1.4425782246168885e-06
清源妙道Jolin;4.181170100452612e-05;-0.1579456805050341;0.5672124634328102;-3.8920332930008146e-06
AI-Doll;2.7874467336350744e-05;0.7751930937640863;0.6364039645056526;1.4288101954037797e-05
刷电影的本老师;7.31704767579207e-05;0.3148386742058794;0.6488378619372999;1.553049636642281e-05
静静的猫超;1.3937233668175372e-05;0.9996955600261626;0.637557992536464;9.229734985789252e-06
Melody欧美音乐台;0.0002822289817805;0.699605065105492;0.819194378197102;0.00016806090945615214
美是参差多态;0.0005679422719781;0.98082300785298;0.6369456398634488;0.0003686569285492268
于文平Turman;3.832739258748227e-05;0.9999999872637352;0.6364342164842953;2.5344748282496502e-05
阿呆谈币;3.135877575339459e-05;0.2688859467438566;0.6398100094136323;5.605358917443267e-06
高歌行说;6.968616834087686e-06;0.9980609869056812;0.6363633569464606;4.598688806342505e-06
愚者先生的甜冰茶的老婆;2.43901589193069e-05;0.9918449729170238;0.6364087046700071;1.5996306977023984e-05
画画的SJMAN;0.0026027783875317;-0.0605944261283202;0.4393702734778314;-7.199887842818715e-05
篮球实战指南;0.0002020898881885;0.2341089670402625;0.5081006133196215;2.4976842979591878e-05
数画-AI绘画App;6.968616834087686e-06;0.9840275004988872;0.6363644986732226;4.534035925627562e-06
绘画笔记;0.000484318869969;0.3987715315849194;0.4760205211073972;9.552265923597984e-05
风铃叮咚舞;0.0016620151149299;0.4065427661470698;0.4807579406047698;0.00033751483403657946
低可视度理工狼;0.001278741189055;0.1186729158520217;0.3958263231368501;6.241142977794572e-05
嗖嗖飞的蓝鱼;5.9233243089745335e-05;-0.9151929863713472;0.6365476330500641;-3.585372592963344e-05
北京大峰峰;2.090585050226306e-05;0.4327793820267511;0.637568382141983;5.9935808304175676e-06
小兔警探;3.135877575339459e-05;0.0946037241146607;0.7406474311821065;2.2829901904435986e-06
