发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
科技冒险;8;147;155;142952;0.0010842800380547316
小卫是David;36;1971;2007;142952;0.014039677654037718
小布爱分享;14;391;405;142952;0.0028331188091107505
小袁同学bli;58;492;550;142952;0.0038474452963232412
西红柿武士;70;948;1018;142952;0.007121271475740109
山城程序猿;9;27;36;142952;0.0002518327830320667
AloneOvO;22;242;264;142952;0.0018467737422351558
代码巴士;5;36;41;142952;0.0002868095584531871
原野追逐科技;18;166;184;142952;0.0012871453354972298
不二小段;30;356;386;142952;0.002700207062510493
hyperflipped;29;201;230;142952;0.0016089316693715372
晓舟报告;40;562;602;142952;0.004211203760702893
小木吱吱;25;99;124;142952;0.0008674240304437853
一只发飙的蜗牛啦;3;32;35;142952;0.0002448374279478426
时之AIGC;5;22;27;142952;0.00018887458727405004
探姬_Official;111;453;564;142952;0.003945380267502379
老K技术教学;19;248;267;142952;0.001867759807487828
WAVE-WAV;18;132;150;142952;0.0010493032626336114
克拉克01;15;47;62;142952;0.00043371201522189265
NewBIM_GPT;449;1320;1769;142952;0.01237478314399239
数据分析Zou;6;242;248;142952;0.0017348480608875706
王树义老师;58;1171;1229;142952;0.008597291398511389
乔治猪先森;236;1840;2076;142952;0.01452235715484918
陌上足风;35;1683;1718;142952;0.012018020034696961
段小手DC;3;55;58;142952;0.0004057305948849964
成唯识;1;3;4;142952;2.79814203368963e-05
做一只精致滴猪猪女孩;34;371;405;142952;0.0028331188091107505
钱在说;14;275;289;142952;0.0020216576193407576
热情啤酒;2;104;106;142952;0.0007415076389277519
华南小虎队;44;643;687;142952;0.0048058089428619395
alchain花生;28;58;86;142952;0.0006016005372432705
阿这0x3f;41;2049;2090;142952;0.014620292126028318
AI预言家;9;53;62;142952;0.00043371201522189265
吾系奥特曼;7;43;50;142952;0.00034976775421120376
江西爱伯特科技;23;114;137;142952;0.0009583636465386983
绿联数码;35;2734;2769;142952;0.019370138228216465
says2022;30;644;674;142952;0.004714869326767027
永恒君的百宝箱;5;109;114;142952;0.0007974704796015446
胡子长;191;5260;5451;142952;0.03813168056410544
大叔的车库书场;104;912;1016;142952;0.00710728076557166
古代直男;22;98;120;142952;0.000839442610106889
大方BigFang;71;2195;2266;142952;0.015851474620851753
另西卜兽;11;106;117;142952;0.0008184565448542168
散步的彭导;61;101;162;142952;0.0011332475236443002
小袁同学bli;62;1023;1085;142952;0.007589960266383122
Cosoh;170;1185;1355;142952;0.009478706139123622
卷不动的IT哥;38;103;141;142952;0.0009863450668755947
小布爱分享;82;1705;1787;142952;0.012500699535508423
小卫是David;26;1222;1248;142952;0.008730203145111646
数学建模老哥;18;962;980;142952;0.006855447982539594
Sweekli;32;694;726;142952;0.005078627791146678
90后自动化创业-G大;1;38;39;142952;0.0002728188482847389
豆米仔鑫鑫;6;9;15;142952;0.00010493032626336112
伯玉沉舟;4;13;17;142952;0.00011892103643180928
看一眼伊瓜苏;8;16;24;142952;0.0001678885220213778
Nayn3;87;1380;1467;142952;0.010262185908556718
super辰吖;68;231;299;142952;0.0020916111701829985
闹类质JiM;5;306;311;142952;0.0021755554311936876
龙马儿_;38;1213;1251;142952;0.008751189210364317
放羊人1986;223;12000;12223;142952;0.08550422519447087
踏踏实在的;33;495;528;142952;0.0036935474844703117
央视频;40;1239;1279;142952;0.008947059152722592
远离福报;23;23;46;142952;0.00032178633387430744
Junlei_D;31;648;679;142952;0.004749846102188147
ChatAI智能小助手;16;296;312;142952;0.0021825507862779114
bili_1570355727;5;98;103;142952;0.0007205215736750798
洛鸿雁;108;3586;3694;142952;0.025840841681123734
ROONIELU;13;38;51;142952;0.0003567631092954278
bululu的小店;1;8;9;142952;6.295819575801668e-05
mkEco;10;34;44;142952;0.0003077956237058593
浮楼小姐;17;388;405;142952;0.0028331188091107505
chunyeman;76;626;702;142952;0.004910739269125301
小卫是David;19;256;275;142952;0.0019237226481616206
唐宇迪研究僧;324;3132;3456;142952;0.024175947171078405
慈云数据;12;72;84;142952;0.0005876098270748224
动动枪DongDongGun;322;12000;12322;142952;0.08619676534780905
IT李老师;55;1044;1099;142952;0.007687895237562259
DayDayUp每天向上;12;244;256;142952;0.0017908109015613632
SevenYuan23;35;870;905;142952;0.006330796351222788
AI搞搞;31;67;98;142952;0.0006855447982539594
人月聊IT;27;224;251;142952;0.001755834126140243
匪叔说教育;85;1615;1700;142952;0.011892103643180928
码农高天;149;2741;2890;142952;0.020216576193407578
刺客边风;43;628;671;142952;0.004693883261514355
GenJi是真想教会你;562;15000;15562;142952;0.10886171582069507
查特查特;7;45;52;142952;0.0003637584643796519
xs_alpha;19;24;43;142952;0.00030080026862163524
Dr括号;34;854;888;142952;0.006211875314790978
不劳不获Pain;26;161;187;142952;0.0013081314007499022
产品君;14;360;374;142952;0.0026162628014998043
麦叔编程;48;206;254;142952;0.001776820191392915
AI-魔法师;2;12;14;142952;9.793497117913706e-05
笑鸭hiahiahia;3421;1321;4742;142952;0.03317197380939056
直播中;43;2087;2130;142952;0.01490010632939728
直播中;4;52;56;142952;0.00039173988471654823
B站带我;4;53;57;142952;0.0003987352398007723
link_gpt;55;990;1045;142952;0.007310146063014159
姗姗带你考教资;32;15;47;142952;0.00032878168895853155
那就abandon吧;37;1116;1153;142952;0.008065644412110358
辉夜海灵顿;98;1615;1713;142952;0.011983043259275841
人工智能-研究院;4;27;31;142952;0.00021685600761094632
痕继痕迹;123;7039;7162;142952;0.05010073311321283
犬哥网站;23;551;574;142952;0.004015333818344619
直播中;156;1079;1235;142952;0.008639263529016733
莫大韭菜;339;2951;3290;142952;0.02301471822709721
捕光逐影的斯图;195;3202;3397;142952;0.023763221221109184
灵亦rEd;7;12;19;142952;0.00013291174660025744
葫芦娃tc;40;273;313;142952;0.0021895461413621357
Web3樱哲;18;1395;1413;142952;0.009884436734008618
一根青蕉;246;5528;5774;142952;0.04039118025630981
飞卢网编爱豆;165;451;616;142952;0.00430913873188203
英语兔;179;12000;12179;142952;0.08519642957076501
信使-messenger;45;311;356;142952;0.002490346409983771
用头敲代码;6;67;73;142952;0.0005106609211483575
Sarah莎拉姐;70;582;652;142952;0.004560971514914097
情报系少女杰西卡;274;9257;9531;142952;0.06667272930773967
无聊小码农;342;6121;6463;142952;0.0452109799093402
大伟聊前端;15;62;77;142952;0.0005386423414852538
震凯同学;97;314;411;142952;0.002875090939616095
影墨AI;120;3019;3139;142952;0.021958419609379373
霸总赛斯;81;608;689;142952;0.004819799653030388
心理系彭恰恰;39;607;646;142952;0.004518999384408752
机器爱上学习;7;287;294;142952;0.002056634394761878
Mingo_明歌;164;1834;1998;142952;0.013976719458279703
Python官网下载;421;355;776;142952;0.005428395545357882
彭楠的创业故事;50;161;211;142952;0.0014760199227712798
长久熊;285;8219;8504;142952;0.05948849963624154
御天九儿;99;218;317;142952;0.002217527561699032
一头小山猪;29;467;496;142952;0.003469696121775141
AAAASKKKK;19;117;136;142952;0.0009513682914544742
AI少年社创空间;167;2293;2460;142952;0.017208573507191224
CodingLucas;125;1363;1488;142952;0.010409088365325423
郑纬民院士;217;1264;1481;142952;0.010360120879735856
贯一智能科技;20;566;586;142952;0.004099278079355308
请叫我循环;25;503;528;142952;0.0036935474844703117
问问马斯克AskMusk;104;1186;1290;142952;0.009024008058649058
北大开哥Link3创始人;2005;36000;38005;142952;0.265858469975936
数字黑魔法;10;213;223;142952;0.0015599641837819689
投资常青树;297;1610;1907;142952;0.01334014214561531
秋火Akihi;305;9610;9915;142952;0.0693589456600817
非人类聊天室;25;1098;1123;142952;0.007855783759583637
KitTech;3;51;54;142952;0.00037774917454810007
Apple大会员;20;112;132;142952;0.0009233868711175779
何时夕丶;520;9537;10057;142952;0.07035228608204153
财才说;197;4383;4580;142952;0.03203872628574626
yeex_official;785;3814;4599;142952;0.032171638032346524
AI机器人和我;9349;8141;17490;142952;0.12234876042307907
玛卡玛卡121;5;27;32;142952;0.0002238513626951704
不想努力辣辣;15;112;127;142952;0.0008884100956964576
Sherry_Tang;35;388;423;142952;0.002959035200626784
AI黑魔法;30;772;802;142952;0.005610274777547709
仲洋兄;6;16;22;142952;0.00015389781185292964
Punhoo_;623;16000;16623;142952;0.1162837875650568
AxiomaticSystem;133;2541;2674;142952;0.018705579495215178
数学建模领航员;403;414;817;142952;0.005715205103811069
三连帮忙订阅plus;139;443;582;142952;0.004071296659018412
西帅本帅;12;272;284;142952;0.0019866808439196375
summermoonspace;159;4342;4501;142952;0.031486093234092564
萌萌哒小地雷;321;2355;2676;142952;0.018719570205383625
起个名全被用了;36;12000;12036;142952;0.08419609379372096
失重_HankYuan;76;1719;1795;142952;0.012556662376182215
Kriz_;17;85;102;142952;0.0007135262185908556
情报系少女杰西卡;121;3655;3776;142952;0.026414460798030108
bi胜li量老师;74;1728;1802;142952;0.012605629861771784
影墨AI;27;269;296;142952;0.002070625104930326
小李student;60;1485;1545;142952;0.010807823605126197
牧云踏歌;20;106;126;142952;0.0008814147406122335
古典文学社Classical;32;243;275;142952;0.0019237226481616206
直播中;61;488;549;142952;0.0038404499412390174
刘柏辛Lexie;264;9356;9620;142952;0.0672953159102356
数字化转型之家;10;19;29;142952;0.0002028652974424982
小妍想当程序员;158;1195;1353;142952;0.009464715428955174
深度学习自然语言处理;7;408;415;142952;0.002903072359952991
01星球;29;439;468;142952;0.0032738261794168673
马士兵在B站;1;123;124;142952;0.0008674240304437853
巷南用Python;13;80;93;142952;0.0006505680228328389
洋拉图;42;860;902;142952;0.0063098102859701155
AI小霸王;20;603;623;142952;0.0043581062174715985
晨玥;62;2869;2931;142952;0.020503385751860764
BigQuantAI量化投资;2;69;71;142952;0.0004966702109799094
日月观察;292;1121;1413;142952;0.009884436734008618
法笑宝;446;16000;16446;142952;0.11504560971514914
米姆_米姆;13;100;113;142952;0.0007904751245173205
巨大汽水;122;1746;1868;142952;0.013067323297330572
产品君;134;1969;2103;142952;0.014711231742123231
耿同学讲故事;173;7435;7608;142952;0.05322066148077676
红星视频;37;1358;1395;142952;0.009758520342492584
为了评论才转正的啊;15;11;26;142952;0.00018187923218982596
老师好我叫莫同学;796;247;1043;142952;0.0072961553528457105
北海星辰;32;181;213;142952;0.001490010632939728
水论文的程序猿;227;857;1084;142952;0.007582964911298898
糖柚子Merasusu;13;98;111;142952;0.0007764844143488723
放羊人1986;27;871;898;142952;0.006281828865633219
阿狸看上兔斯基;24;93;117;142952;0.0008184565448542168
