发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
咔哒小蛮;12;58;70;37914;0.0018462836946774278
TD任何帽几;3;0;3;37914;7.912644405760406e-05
小屋pro;10;37;47;37914;0.0012396476235691301
RPA之家;1;9;10;37914;0.00026375481352534686
知汉汉;2;2;4;37914;0.00010550192541013873
小田贱;8;2;10;37914;0.00026375481352534686
江南一根葱;1;8;9;37914;0.00023737933217281214
牛顿顿顿;914;37000;37914;37914;1.0
潘彩蛋;17;2581;2598;37914;0.0685235005538851
吧栏杆拍遍;1;3;4;37914;0.00010550192541013873
查特卡卡;2;13;15;37914;0.00039563222028802023
火爷精品微课工作室;1;3;4;37914;0.00010550192541013873
数据可是;6;65;71;37914;0.0018726591760299626
直播中;110;1144;1254;37914;0.033074853616078495
ntwei;1;4;5;37914;0.00013187740676267343
矮小蛋爱吃大西瓜;1;2;3;37914;7.912644405760406e-05
雷峰网;23;223;246;37914;0.006488368412723532
起名字多是一件美事啊;1;1;2;37914;5.2750962705069364e-05
马蹄铁692;1;4;5;37914;0.00013187740676267343
扁宇宙;9;84;93;37914;0.0024529197657857256
猴子该吃药了;3;4;7;37914;0.0001846283694677428
孔老头苏老头;7;29;36;37914;0.0009495173286912486
冷叔观察;289;2780;3069;37914;0.08094635227092895
要中杯;1;0;1;37914;2.6375481352534682e-05
Apple大会员;4;21;25;37914;0.0006593870338133671
专逗文心;1;0;1;37914;2.6375481352534682e-05
河北彩花_Saika;3;37;40;37914;0.0010550192541013874
陈and煦;3;11;14;37914;0.0003692567389354856
阿垚嘿呀;4;7;11;37914;0.00029013029487788154
Blue★Sky;2;13;15;37914;0.00039563222028802023
XL科技说;4;6;10;37914;0.00026375481352534686
surpass_bp;8;28;36;37914;0.0009495173286912486
假非假;9;42;51;37914;0.0013451495489792689
元宇宙_船长;10;19;29;37914;0.0007648889592235059
ChatAI智能小助手;3;39;42;37914;0.0011077702168064568
ChatGPT_2015;3;8;11;37914;0.00029013029487788154
芒果树上猫;1;0;1;37914;2.6375481352534682e-05
也是简佳;2;7;9;37914;0.00023737933217281214
鱼咏eve;15;46;61;37914;0.0016089043625046157
