发布者;群体情绪;时间
谷大白话;0.022337817440891066;2023-02-02 20:25:03
用户7497043569;-7.195649276966887e-05;2023-02-08 00:21:46
宝玉xp;0.001622757995416855;2023-02-07 14:58:25
伊达_Alicia;0.0001302538929017391;2023-02-07 14:58:20
鬼冥_正太不足;-0.0001289374802056862;2023-02-07 13:58:02
天文八卦学家刘博洋;0.005611963663746854;2023-02-06 21:07:50
黑体鸭;-1.4750046015948316e-05;2023-02-05 17:44:27
PriceTag应用推荐;-1.6553931625819616e-05;2023-02-04 19:17:53
PoiPoiPooo_ver_2;-3.599027926965042e-05;2023-02-03 22:06:22
·kayou卡哟·;7.233342885382797e-05;2023-02-03 21:40:46
少数派sspai;-0.00028719919593903683;2023-02-03 19:16:20
莲心无限;0.0003828125656490364;2023-02-03 14:54:07
姬永锋;-0.0005293163427549917;2023-02-03 09:25:55
一休价投;0.005003782373650362;2023-02-03 07:56:12
讯飞听见;-3.4749406020650615e-05;2023-02-03 00:41:35
小黑夜之睛;0.00781828677287024;2023-02-03 00:40:53
只要耗子够多ban号就追不上我;-6.329591885979787e-05;2023-02-02 22:49:50
Kansenta;0.000344282519491736;2023-02-02 22:40:30
DoubleUisW;0.00021212446451672023;2023-02-02 22:07:21
ZEALER;4.36150014672837e-05;2023-02-02 20:39:17
木微分;3.775236201622712e-05;2023-02-02 19:50:21
言夕Yanxi;0.0003643812288595301;2023-02-02 19:42:50
潘萌SoPhia;-0.0003231843631543975;2023-02-02 19:34:02
睡不醒厨子深夜做饭;0.00031020080721121546;2023-02-02 18:13:19
雪球;0.00036875956106707043;2023-02-02 16:00:24
苏打冰河;0.0002061348371290648;2023-02-02 21:21:47
北京事儿哥;-0.002086551123312202;2023-02-02 18:12:35
财入门;-0.00021667582989912148;2023-02-08 10:05:39
于欣烈;0.0006786124269153654;2023-02-06 21:34:47
美第奇效应1;4.1702771433132775e-05;2023-02-06 18:08:37
叨哥胡侃;-0.008638171333035998;2023-02-05 22:58:08
瞎玩菌;5.524649979125654e-05;2023-02-05 07:07:51
·Boga·;3.808012214253221e-05;2023-02-04 15:02:18
姬永锋;0.001586567292330798;2023-02-04 10:34:39
姬永锋;0.0018499451233814188;2023-02-03 12:14:19
阿龙哥BLOG;0.0002804138232236006;2023-02-03 08:40:18
洋芋PooooootatoNE;0.0007515331227003531;2023-02-03 07:09:32
宝玉xp;0.0006463048009038741;2023-02-02 20:07:39
宝玉xp;-0.0002503880720192118;2023-02-02 17:17:06
林竹;0.0017475932177971707;2023-02-02 16:12:04
梁景滔-TaoO;0.00013064980619382707;2023-02-02 15:55:38
哈勃观察员;-0.004038124202578548;2023-02-02 15:48:40
电子六厂张大民;0.041565546174114315;2023-02-05 17:11:50
我是人见人爱的Max;0.058235371846051334;2023-02-02 22:26:03
陈擦皮;0.0019087915398094644;2023-02-05 15:32:45
这一生只再疯三次;-7.421852253862177e-06;2023-02-03 15:21:11
奥特曼乐高;0.00015199316124740937;2023-02-03 11:43:56
Genshit别再炸了bot;0.00025812467575447634;2023-02-09 22:27:16
西城大妈;0.006431230185137863;2023-02-09 22:27:00
晚点LatePost;-0.000277338754141843;2023-02-06 20:59:17
宝玉xp;0.0013254288866835868;2023-02-07 17:27:08
逻辑引擎;0.00023912404353774137;2023-02-06 21:54:12
看理想vistopia;-0.0009486002637294337;2023-02-08 21:20:14
Sunbelife;0.0016720330061803235;2023-02-04 10:22:41
夜光手表9988;0.00029514738151938986;2023-02-03 20:00:16
五哥;-5.978233865377394e-05;2023-02-06 22:43:32
澳洲晓亮;3.471025962552837e-05;2023-02-06 08:00:24
姚广孝_wayne;0.00010949505917517762;2023-02-02 20:26:14
合肥斌叔;0.006166637429320181;2023-02-04 20:35:36
洗砚;2.787708843459324e-05;2023-02-04 23:33:43
逐肉_;0.00010199745790556676;2023-02-02 15:03:01
初霜翼;-2.3573959893626393e-05;2023-02-03 23:12:59
Vetrax嚣张卫视;0.000445984246559061;2023-02-03 20:43:26
长齐;0.00021526949268105427;2023-02-03 22:43:21
严艺家;0.0015288625178960138;2023-02-03 19:32:45
6万小时15年交易者4;0.00044431861597224253;2023-02-07 10:59:59
菜瓜好吃;0.0001927151570476101;2023-02-04 09:39:32
Kaedei;-3.4785529736065256e-06;2023-02-04 08:16:46
Phoebeeeee_H;0.000483034920177598;2023-02-03 17:01:12
恋恋甲壳虫;6.495445338819914e-05;2023-02-07 14:16:25
戴面具的布鲁斯;0.011985070909517143;2023-02-04 21:52:13
李楠或kkk;0.0029648560782338526;2023-02-04 14:14:08
求我早睡不要再熬夜了;3.345595226024404e-05;2023-02-05 18:01:05
Kaedei;0.0009694911205379398;2023-02-04 13:54:55
奇爱电影;4.554615018747718e-05;2023-02-05 11:19:54
李好宽同学;0.0006289119869488077;2023-02-04 14:08:37
福州翻译ivy;0.05417673092018471;2023-02-04 13:48:18
科技客;0.001507877478923758;2023-02-04 12:56:55
量子位;0.0018833107318363162;2023-02-04 12:40:51
宝玉xp;0.0008289368631358474;2023-02-07 22:07:01
宝玉xp;-0.0003598871742363429;2023-02-06 16:48:42
Danco;0.00017912890033327798;2023-02-06 13:43:10
Utroypia;0.0001187092031523794;2023-02-06 10:25:51
南方周末;0.0014059705677203294;2023-02-05 15:49:00
DTCHAT;0.0007617574455652517;2023-02-05 11:47:09
游戏名侦探;0.003819775737488356;2023-02-05 00:54:00
UCG官方微博;-0.0001881464081271663;2023-02-04 23:20:59
8848究极手机项目发起人之一泰坦;0.00010730877548361849;2023-02-04 19:48:58
Game手帐姬;-3.606728259230661e-05;2023-02-04 18:19:35
西园寺nanaaki;0.00019465660651376814;2023-02-04 18:16:58
梦电游戏;5.0368208642263756e-06;2023-02-04 17:45:36
Jump小酱;0.00017166060324539254;2023-02-04 16:44:37
gutsshadow;0.0003668885519655729;2023-02-04 16:39:55
新浪游戏;-2.762421788510998e-05;2023-02-04 15:10:34
游研社;0.0008703010560386097;2023-02-04 15:01:59
A9VG;2.89291279250505e-06;2023-02-04 14:05:18
塔莉塔铛;3.29025433324938e-06;2023-02-04 13:45:42
顾子明说;0.0011174405776387018;2023-02-04 13:43:27
曹喵喵;-9.286746851997092e-05;2023-02-04 13:32:57
vegra;0.00019212130895863397;2023-02-04 13:29:12
-huangzhe;0.00012402571281031418;2023-02-04 13:23:44
Joken是个教书匠Mini;0.0011946408766927777;2023-02-04 13:13:44
识货少年;0.0033605158415829306;2023-02-04 13:07:24
扑捉大长腿;0.00012192856772316712;2023-02-04 13:04:58
马妍;6.469460508555606e-05;2023-02-04 12:58:12
群响刘老板;5.0434315378700896e-05;2023-02-04 12:56:50
倾大;0.00831434159489975;2023-02-04 12:55:29
西城大妈;0.018684819399792867;2023-02-04 12:51:48
小疾庸;0.0003459674105261448;2023-02-04 12:51:23
有个梨GPT;0.0010619593560958424;2023-02-04 12:49:06
gzpsmshlqw;5.286942602237135e-06;2023-02-04 12:48:02
没有我找不到的电子书;0.00021780271569996477;2023-02-04 12:44:17
星空橙爆汁;0.0019716990102761575;2023-02-04 12:43:10
