发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
宁宁想要欧欧欧;2;1;3;40435;7.419314949919624e-05
咩咩提子;2;2;4;40435;9.892419933226165e-05
霸道猫男爱上我;1;1;2;40435;4.9462099666130826e-05
推书少女西米荞;3;15;18;40435;0.00044515889699517743
赵老哥游资备用号;1;18;19;40435;0.00046988994682824284
财经黄小姐;1;2;3;40435;7.419314949919624e-05
KUANG-旷;1;3;4;40435;9.892419933226165e-05
班叔;31;366;397;40435;0.00981822678372697
棉花_voz;3;1;4;40435;9.892419933226165e-05
邪吻受难者交流中心;2;9;11;40435;0.00027204154816371954
是唇语也是春雨;1;1;2;40435;4.9462099666130826e-05
读首诗再睡觉;2;36;38;40435;0.0009397798936564857
歪克思;2;6;8;40435;0.0001978483986645233
加百罗涅首席嗑学家;1;2;3;40435;7.419314949919624e-05
蓝色巨大喷流;1;6;7;40435;0.0001731173488314579
电商品牌报;3;34;37;40435;0.0009150488438234203
桃花带鹿浓;1;1;2;40435;4.9462099666130826e-05
李元霸的风险指南;5;15;20;40435;0.0004946209966613083
AlaAIaAlaska;1;1;2;40435;4.9462099666130826e-05
译林出版社;2;11;13;40435;0.00032150364782985037
狂炫薯条三百斤;1;1;2;40435;4.9462099666130826e-05
happygrassfriend;2;52;54;40435;0.0013354766909855324
有道考神建昆老师;15;102;117;40435;0.0028935328304686534
厦门路喜丧;1;5;6;40435;0.00014838629899839248
楼主楼渚_luzz;2;4;6;40435;0.00014838629899839248
京极夏彦同好会;5;18;23;40435;0.0005688141461605045
香港衛視HKS;1;1;2;40435;4.9462099666130826e-05
小王子与小小玫瑰;2;1;3;40435;7.419314949919624e-05
Drakeet;5;18;23;40435;0.0005688141461605045
侠客岛;20;54;74;40435;0.0018300976876468407
海客视频;1;7;8;40435;0.0001978483986645233
新智元;2;31;33;40435;0.0008161246444911587
冥王_SXZ;1;16;17;40435;0.000420427847162112
小重山九;1;1;2;40435;4.9462099666130826e-05
怀特克劳;2;8;10;40435;0.00024731049833065413
翻转王座;2;5;7;40435;0.0001731173488314579
夏木折葵;2;3;5;40435;0.00012365524916532706
湛若秋水;3;37;40;40435;0.0009892419933226165
这里是日本;108;803;911;40435;0.022529986397922593
懿领土_1113;7;14;21;40435;0.0005193520464943737
舞动浣熊;5;19;24;40435;0.0005935451959935699
视角_日本;29;1335;1364;40435;0.03373315197230122
飞鸟DA;2;5;7;40435;0.0001731173488314579
李笑来;12;114;126;40435;0.003116112278966242
知書club;2;4;6;40435;0.00014838629899839248
待機藥物合成器;2;13;15;40435;0.0003709657474959812
数码头条;1;1;2;40435;4.9462099666130826e-05
日本沙雕日常;30;2007;2037;40435;0.05037714850995425
FlowUs息流;1;8;9;40435;0.00022257944849758872
张大明白啵;2;6;8;40435;0.0001978483986645233
爱可可-爱生活;22;184;206;40435;0.005094596265611475
少数派sspai;6;61;67;40435;0.0016569803388153826
科幻夏桑;2;10;12;40435;0.00029677259799678495
lI某人lI;1;2;3;40435;7.419314949919624e-05
融化在黄油和蒜面包之间;1;9;10;40435;0.00024731049833065413
BTXM量智商泊世界最大探清洁商霸;1;2;3;40435;7.419314949919624e-05
后厂女工小王;5;109;114;40435;0.002819339680969457
小满;148;484;632;40435;0.015630023494497342
清南师兄;93;1691;1784;40435;0.0441201929021887
未来网;4;52;56;40435;0.0013849387906516631
IT互联网那点事;91;484;575;40435;0.014220353654012613
凭本事粉上的;4;7;11;40435;0.00027204154816371954
阿晋坐在甜汤里;3;4;7;40435;0.0001731173488314579
林下晓清风;1;7;8;40435;0.0001978483986645233
李迎兵;1;2;3;40435;7.419314949919624e-05
芙塔蔻姐姐;19;172;191;40435;0.004723630518115494
_小花与小草_;8;5;13;40435;0.00032150364782985037
好种子研选;2;2;4;40435;9.892419933226165e-05
爱踢学长;62;705;767;40435;0.018968715221961172
老板联播;0;5;5;40435;0.00012365524916532706
馨馨不乖-;1;7;8;40435;0.0001978483986645233
新浪5G;1;1;2;40435;4.9462099666130826e-05
美好的老年生活啥时候来;3;2;5;40435;0.00012365524916532706
斌叔NextEdu;18;137;155;40435;0.003833312724125139
孔孔小波;1;5;6;40435;0.00014838629899839248
左岸larivegauche;69;792;861;40435;0.02129343390626932
来杯菠萝圣代;2;2;4;40435;9.892419933226165e-05
上学不用请家教;1;8;9;40435;0.00022257944849758872
骆明微博;7;14;21;40435;0.0005193520464943737
星野梦美厨;2;8;10;40435;0.00024731049833065413
