发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
"翻译w-sog6688
发消息";1;3;4;82238;4.863931515844257e-05
"广东号航母
发消息";6;20;26;82238;0.0003161555485298767
"学习爱我我爱学习嘿
发消息";1;3;4;82238;4.863931515844257e-05
"苯科技
发消息";11;25;36;82238;0.00043775383642598314
"Reich不管部长
发消息";13;84;97;82238;0.0011795033925922323
"华为开发者联盟
发消息";32;372;404;82238;0.0049125708310027
"哩个北七
发消息";4;11;15;82238;0.00018239743184415963
"你可牛皮
发消息";1;3;4;82238;4.863931515844257e-05
"海王竞技
发消息";1;107;108;82238;0.0013132615092779493
"梦楫舟
发消息";3;12;15;82238;0.00018239743184415963
"手写AI
发消息";24;157;181;82238;0.002200929010919526
"liliweihuahua
发消息";9;56;65;82238;0.0007903888713246917
"魔力飞哥
发消息";11;121;132;82238;0.0016050974002286048
"电子会客厅
发消息";2;0;2;82238;2.4319657579221285e-05
"小yiu鱼
发消息";7;355;362;82238;0.004401858021839052
"御坂老琴
发消息";60;960;1020;82238;0.012403025365402855
"2015冬至未至
发消息";2;16;18;82238;0.00021887691821299157
"阿马尼霸波
发消息";6;39;45;82238;0.0005471922955324789
"Beluga
发消息";59;6821;6880;82238;0.08365962207252121
