发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
轻轻的go;1;3;4;8296;0.00048216007714561236
财经网科技;2;1;3;8296;0.0003616200578592093
丁振凯;3;2;5;8296;0.0006027000964320154
瘦东东即将拥有人鱼线;3;6;9;8296;0.0010848601735776277
以史为鉴V;1;12;13;8296;0.00156702025072324
钱江晚报;9;8;17;8296;0.0020491803278688526
头条新闻;4;46;50;8296;0.006027000964320154
百度;7;16;23;8296;0.002772420443587271
灯笼鬼打工手册;7;77;84;8296;0.010125361620057859
森赛;4;9;13;8296;0.00156702025072324
传媒老王;24;93;117;8296;0.014103182256509162
荒井健一ak;1;4;5;8296;0.0006027000964320154
Yufengxxx;2;3;5;8296;0.0006027000964320154
模型预测;12;58;70;8296;0.008437801350048216
刘兴亮;7;8;15;8296;0.0018081002892960463
陆锡鑫;2;2;4;8296;0.00048216007714561236
凤凰网科技;14;25;39;8296;0.0047010607521697206
IT之家;1;4;5;8296;0.0006027000964320154
股票检测工程师;5;4;9;8296;0.0010848601735776277
胖哥杨力;31;69;100;8296;0.012054001928640309
土肥圆阿囧_咕噜碳教成员;1;13;14;8296;0.0016875602700096432
金融界网站;2;2;4;8296;0.00048216007714561236
猩猩吸猩猩;14;71;85;8296;0.010245901639344262
凤凰网科技;2;6;8;8296;0.0009643201542912247
科技最前线V;1;7;8;8296;0.0009643201542912247
战斧Cosplay创造;1;13;14;8296;0.0016875602700096432
相三三三;4;2;6;8296;0.0007232401157184186
财联社APP;13;32;45;8296;0.005424300867888139
多维财经;31;32;63;8296;0.007594021215043395
暗金色月亮;4;9;13;8296;0.00156702025072324
八月俊杰;1;2;3;8296;0.0003616200578592093
史炎nacl;9;236;245;8296;0.029532304725168757
21世纪经济报道;1;7;8;8296;0.0009643201542912247
大河报;10;50;60;8296;0.007232401157184185
Jingle粳米;1;2;3;8296;0.0003616200578592093
Mrs张小桃;1;1;2;8296;0.00024108003857280618
太二在逃酸菜鱼;1;1;2;8296;0.00024108003857280618
SMGNEWS;1;2;3;8296;0.0003616200578592093
没有胶原蛋白成员阿袂;2;1;3;8296;0.0003616200578592093
刘兴亮;6;8;14;8296;0.0016875602700096432
不交朋友;1;1;2;8296;0.00024108003857280618
真冬O;1;19;20;8296;0.0024108003857280617
投资界微博;2;2;4;8296;0.00048216007714561236
互联网八哥;40;133;173;8296;0.020853423336547734
第一财经日报;2;3;5;8296;0.0006027000964320154
AutoportraitVanGogh;14;36;50;8296;0.006027000964320154
投行泰山;6;14;20;8296;0.0024108003857280617
硅谷陈源-海外杂谈;1;12;13;8296;0.00156702025072324
五十一堆金子_;3;1;4;8296;0.00048216007714561236
卖女孩的小男孩i;1;1;2;8296;0.00024108003857280618
愿望长高没;1;3;4;8296;0.00048216007714561236
进击的大张伟;1;1;2;8296;0.00024108003857280618
创业邦;1;1;2;8296;0.00024108003857280618
新浪财经;7;33;40;8296;0.0048216007714561235
浙人无为;1;3;4;8296;0.00048216007714561236
异次元软件X;1;5;6;8296;0.0007232401157184186
第一财经日报;8;24;32;8296;0.003857280617164899
友情小爪;3;2;5;8296;0.0006027000964320154
浙人无为;2;4;6;8296;0.0007232401157184186
蔓越莓杏仁可颂;1;1;2;8296;0.00024108003857280618
幻想滚去平原午休;1;1;2;8296;0.00024108003857280618
第一财经;6;16;22;8296;0.002651880424300868
御马爷;2;6;8;8296;0.0009643201542912247
日知_PolyU;2;3;5;8296;0.0006027000964320154
巴伦周刊;3;8;11;8296;0.001325940212150434
许子东;83;729;812;8296;0.09787849566055931
数码科技大爆炸VVV;25;125;150;8296;0.01808100289296046
网际飞侠;3;21;24;8296;0.0028929604628736743
景云的语;4;4;8;8296;0.0009643201542912247
财经杂志;4;5;9;8296;0.0010848601735776277
番茄殿下;12;42;54;8296;0.006509161041465767
光子星球;18;25;43;8296;0.005183220829315333
雷达财经;3;4;7;8296;0.0008437801350048216
环球市场播报;2;9;11;8296;0.001325940212150434
番茄殿下;10;72;82;8296;0.009884281581485053
金融界网站;4;7;11;8296;0.001325940212150434
当然是小夫啦;1;2;3;8296;0.0003616200578592093
一颗瓶子和一只羊;2;4;6;8296;0.0007232401157184186
来自故事-;1;3;4;8296;0.00048216007714561236
王冰汝;199;1214;1413;8296;0.17032304725168756
宁萌zz;1;1;2;8296;0.00024108003857280618
老罗Champion;4;12;16;8296;0.0019286403085824494
不交朋友;3;1;4;8296;0.00048216007714561236
默默天下芬芳;1;3;4;8296;0.00048216007714561236
姬永锋;2;13;15;8296;0.0018081002892960463
进击的兔子ray;1;1;2;8296;0.00024108003857280618
汀苑小同学;5;3;8;8296;0.0009643201542912247
正和岛标准;3;5;8;8296;0.0009643201542912247
第一财经日报;2;5;7;8296;0.0008437801350048216
爱机撕mo人;2;1;3;8296;0.0003616200578592093
魏春亮;1;1;2;8296;0.00024108003857280618
爱机撕mo人;1;2;3;8296;0.0003616200578592093
科创板日报;24;47;71;8296;0.008558341369334619
格诺爱数码;3;2;5;8296;0.0006027000964320154
财联社APP;46;51;97;8296;0.0116923818707811
百忍说;5;18;23;8296;0.002772420443587271
皮皮推;6;10;16;8296;0.0019286403085824494
一九八四丰臻;4;12;16;8296;0.0019286403085824494
财经杂志;1;1;2;8296;0.00024108003857280618
魏春亮;3;4;7;8296;0.0008437801350048216
寒塘秋鹤;1;2;3;8296;0.0003616200578592093
杨天婴;7;9;16;8296;0.0019286403085824494
爷真不是吴彦祖;1;1;2;8296;0.00024108003857280618
方脑壳邓铂鋆;59;179;238;8296;0.028688524590163935
阿怪的健;1;2;3;8296;0.0003616200578592093
哈侠;19;57;76;8296;0.009161041465766635
Kevin在纽约;78;424;502;8296;0.06051108968177435
Jession2022;1;1;2;8296;0.00024108003857280618
种斌Marco;1;4;5;8296;0.0006027000964320154
柔妍自得;4;7;11;8296;0.001325940212150434
天启元元;8;34;42;8296;0.005062680810028929
不是那片海了;1;9;10;8296;0.0012054001928640309
杜立言;6;12;18;8296;0.0021697203471552555
填鸭式教育受害者;57;398;455;8296;0.054845708775313404
爱传播新传考研;1;3;4;8296;0.00048216007714561236
港式冻茶柠;2;1;3;8296;0.0003616200578592093
小明Voix;31;435;466;8296;0.05617164898746384
赵刚先生;4;3;7;8296;0.0008437801350048216
杜立言;6;18;24;8296;0.0028929604628736743
邓小兔价值投资日记;1;9;10;8296;0.0012054001928640309
极客公园;1;1;2;8296;0.00024108003857280618
复旦张_军平;6;21;27;8296;0.0032545805207328834
景云的语;9;16;25;8296;0.003013500482160077
荐见;52;1577;1629;8296;0.19635969141755064
江瀚的视野;6;5;11;8296;0.001325940212150434
信阳茶叶;1;2;3;8296;0.0003616200578592093
Quincy_Liu;1;3;4;8296;0.00048216007714561236
科技小辛;87;198;285;8296;0.03435390549662488
追剧小鬼才;26;173;199;8296;0.023987463837994213
迷惑;30;182;212;8296;0.025554484088717456
手机中国;4;10;14;8296;0.0016875602700096432
憨憨行为图鉴;23;171;194;8296;0.0233847637415622
谍中谍2021;1;6;7;8296;0.0008437801350048216
摸鱼段子手;26;174;200;8296;0.024108003857280617
上班摆烂青年;24;138;162;8296;0.0195274831243973
臭弟弟;20;144;164;8296;0.019768563162970106
财经网科技;1;2;3;8296;0.0003616200578592093
内涵台长;25;152;177;8296;0.021335583413693345
小老虎不虎吖;1;1;2;8296;0.00024108003857280618
憨憨老师;33;167;200;8296;0.024108003857280617
恋爱投递员;21;149;170;8296;0.020491803278688523
趣味无限大集合;1;302;303;8296;0.03652362584378013
剧娱安利;1;302;303;8296;0.03652362584378013
任泽平;101;313;414;8296;0.04990356798457088
深蓝财经;5;12;17;8296;0.0020491803278688526
麻辣村花;1;292;293;8296;0.03531822565091611
湖苑洪舟;1;1;2;8296;0.00024108003857280618
戏精趣闻榜;1;294;295;8296;0.03555930568948891
金融八卦女;16;30;46;8296;0.005544840887174542
懒人酱;1;299;300;8296;0.03616200578592092
书摘选集;1;302;303;8296;0.03652362584378013
全球第一恶搞;1;303;304;8296;0.03664416586306654
娱知秋;1;290;291;8296;0.0350771456123433
音乐剧综少女;1;297;298;8296;0.03592092574734812
香港經濟日報;1;2;3;8296;0.0003616200578592093
独立经济学家徐爽-金融派;1;3;4;8296;0.00048216007714561236
我想起一个特别特别长的ID;1;5;6;8296;0.0007232401157184186
酷玩实验室;1;5;6;8296;0.0007232401157184186
搜狐财经;5;1;6;8296;0.0007232401157184186
我欲乘风归去z;1;1;2;8296;0.00024108003857280618
凯雷;15;36;51;8296;0.006147540983606557
At_P1NK_Ver2;2;9;11;8296;0.001325940212150434
君子和而不同999;9;28;37;8296;0.004459980713596914
倒吸一口凉屁;5;50;55;8296;0.00662970106075217
假装正经的楼哥;139;1761;1900;8296;0.22902603664416588
郭咏;2;5;7;8296;0.0008437801350048216
朱烨crystal;3;8;11;8296;0.001325940212150434
